Name,Addr1,Addr2,City,State,PostalCode,Phone,Website,ReviewScore,NumberOfReviews,DistanceFromHotel
Cascades Restaurant at the Stanley Hotel,333 E Wonder View Ave,,Estes Park,CO,80517-9665,970-577-4001,https://www.stanleyhotel.com/dining.html,0,0,0
Mountain Home Cafe Inc,457 E Wonderview Ave,,Estes Park,CO,80517-9663,1 970-586-6624,http://something.com,0,0,0
Notchtop Bakery & Cafe,"459 E Wonder View Ave Unit 4, Estes Park, CO 80517-9658",,Estes Park,CO,80517-9658,1 970-586-0272,http://www.thenotchtop.com,0,0,0
Twin Owls Steakhouse,800 Macgregor Ave,,Estes Park,CO,80517-9065,1 970-586-9344,https://www.twinowls.net,0,0,0
The Egg & I Restaurant,"393 E Elkhorn Ave, PO Box 1048, Estes Park, CO 80517",,Estes Park,CO,80517,1 970-586-1173,https://theeggandirestaurants.com/location/estes-park-co/,0,0,0
Kind Coffee,470 East Elkhorn Avenue,,Estes Park,CO,80517,1 970-586-5206,http://www.kindcoffee.com/,0,0,0
SEASONED-An American Bistro,205 Park Lane,,Estes Park,CO,80517,1 970-586-9000,http://seasonedbistro.com/,0,0,0
Estes Park Pie Shop Bakery + DIner,509 Big Thompson Ave,Unit 300,Estes Park,CO,80517-9607,1 970-577-7437,http://www.estesparkpieshop.com,0,0,0
Claire's on the Park,225 Park Ln,,Estes Park,CO,80517,1 970-586-9564,http://clairesrestaurantandbar.com,0,0,0
Shakes Alive! Fruit Shakes,513 Big Thompson Ave,,Estes Park,CO,80517-9651,1 970-577-7007,https://www.shakesalive.com,0,0,0
Ed's Cantina & Grill,390 E. Elkhorn Ave,,Estes Park,CO,80517, 1 970-586-2919,https://www.edscantina.com/,0,0,0
Peppers Mexican Grill,401 East,,Estes Park,CO,80517-9030,1-970-577-0032,http://peppersmex.com,0,0,0
Himalayan Curry & Kebob,101 W Elkhorn Ave,,Estes Park,CO,80517,1 970-586-6226,http://himalayancurryandkebob.com,0,0,0
Nepal's Cafe,184 E. Elkhorn Ave.,,Estes Park,CO,80517,1 970-577-7035,https://www.facebook.com/pages/Nepals-Cafe/166103146809347,0,0,0
Poppy's Pizza & Grill,342 E Elkhorn Ave,,Estes Park,CO,80517,1 970-586-8282,https://poppyspizzaandgrill.com,0,0,0
