Field                  , Type         , Null , Key , Default , Extra          
 id                     , int(11)      , NO   , PRI , NULL    , auto_increment 
 WalkableScore          , int(11)      , YES  ,     , NULL    ,                
Addr1                  , varchar(255) , YES  ,     , NULL    ,                
 Addr2                  , varchar(255) , YES  ,     , NULL    ,                
City                   , varchar(45)  , YES  ,     , NULL    ,                
 State                  , varchar(45)  , YES  ,     , NULL    ,                
PostalCode             , int(11)      , YES  ,     , NULL    ,                
 Latitude               , decimal(6,4) , YES  ,     , NULL    ,                
 Longitude              , decimal(6,4) , YES  ,     , NULL    ,                
 NearestAirport         , varchar(45)  , YES  ,     , NULL    ,                
 NearestAirportDistance , decimal(5,2) , YES  ,     , NULL    ,                
